from,PF_J,PF_J_sd,num_layers
ASV_00055,0.14900585738038777,0.12569266097784454,7
ASV_00056,0.23718155526496856,0.125656195200777,6
ASV_00057,0.1282580386910046,0.10968535765211755,7
ASV_00058,0.14077078194217013,0.10626083865846934,7
ASV_00059,0.1773618771368318,0.15727697419736267,7
ASV_00060,0.19012844606842336,0.1428713394392853,7
ASV_00061,0.1738588351331066,0.1239181059703918,7
ASV_00062,0.0397343341629623,0.02849430113240327,6
ASV_00063,0.1744397471356041,0.1315965419909073,7
ASV_00064,0.10352582896732535,0.12718150469320808,7
ASV_00065,0.2446565560717851,0.08109503881982245,4
ASV_00066,0.22541854720409563,0.13218612972129637,6
ASV_00067,0.05347511111987363,0.03151678657624773,4
ASV_00068,0.13008471436444266,0.09739126121855429,6
ASV_00069,0.185588397976124,0.11001874656272365,7
ASV_00070,0.18253946586479694,0.11067943762981441,7
ASV_00071,0.22891436506916024,0.08247431914903759,7
ASV_00072,0.24806974161588366,0.11491066932920715,5
ASV_00073,0.2880462796837978,0.11490971917420972,5
ASV_00074,0.07615265925006058,0.062475870225799424,7
ASV_00075,0.2866292043835986,0.11058965101704389,5
ASV_00076,0.2449361085594896,0.10546677085131233,7
ASV_00077,0.2757971064265078,0.08938001709128325,5
ASV_00078,0.09912285659417996,0.10076270755619239,6
ASV_00079,0.26425531791842827,0.12307119627644708,5
ASV_00080,0.19074955814555292,0.1257542013620152,7
ASV_00081,0.1687325753915369,0.10908364834939699,7
ASV_00082,0.07606432074656186,0.05044405434184943,5
ASV_00083,0.19016029723879274,0.10087194212122771,7
ASV_00084,0.10975497550069903,0.11290399648159394,7
ASV_00085,0.23603836961923833,0.11247782036537529,7
ASV_00086,0.16115337276860991,0.10529312669414048,7
ASV_00087,0.111771560330519,0.13311555201403846,7
ASV_00088,0.1655379638930972,0.1036358097685623,7
ASV_00089,0.14238538692737607,0.12478678498102204,7
ASV_00090,0.16384036477229777,0.13851016920224482,7
ASV_00091,0.2381194754606662,0.1305596456758414,5
ASV_00092,0.20488677320274978,0.11890562658850938,7
ASV_00093,0.1269562792643469,0.08413789121566519,7
ASV_00094,0.13664865014121674,0.1279815047792008,7
ASV_00095,0.04758484740433396,0.07634850962150147,4
ASV_00096,0.11555102921077012,0.0889585974118464,7
ASV_00097,0.1173557309050969,0.11272711053379637,7
ASV_00098,0.27027450143221265,0.10475952840213261,5
ASV_00099,0.14475940425971984,0.14872256353037655,7
ASV_00100,0.1328177157519133,0.09109550603730004,7
ASV_00101,0.09993743397146299,0.09643020130316415,7
ASV_00102,0.21030268065960428,0.1649257718122374,5
ASV_00103,0.24980638303302594,0.11480675621764075,5
ASV_00104,0.19448261995015154,0.131676064656925,7
ASV_00105,0.12164478619818489,0.12276581562424668,7
ASV_00106,0.13288421751853513,0.10610965400159936,7
