asv_id,membership
UK1_ASV_00288,1
UK1_ASV_00289,34
UK1_ASV_00290,1
UK1_ASV_00292,1
UK1_ASV_00293,34
UK1_ASV_00294,1
UK1_ASV_00295,1
UK1_ASV_00296,1
UK1_ASV_00297,34
UK1_ASV_00298,1
UK1_ASV_00299,1
UK1_ASV_00300,1
UK1_ASV_00303,1
UK1_ASV_00304,1
UK1_ASV_00308,1
UK1_ASV_00309,34
UK1_ASV_00310,34
UK1_ASV_00311,1
UK1_ASV_00312,1
UK1_ASV_00313,1
UK1_ASV_00315,1
UK1_ASV_00316,1
UK1_ASV_00318,34
UK1_ASV_00320,1
UK1_ASV_00321,1
UK1_ASV_00323,34
UK1_ASV_00324,1
UK1_ASV_00325,1
UK1_ASV_00326,1
UK1_ASV_00328,1
UK1_ASV_00330,34
UK1_ASV_00331,1
UK1_ASV_00333,1
UK1_ASV_00335,1
UK1_ASV_00336,1
UK1_ASV_00337,1
UK1_ASV_00338,1
UK1_ASV_00340,1
UK1_ASV_00341,34
UK1_ASV_00342,1
UK1_ASV_00345,34
UK1_ASV_00350,1
UK1_ASV_00352,32
UK1_ASV_00354,32
UK1_ASV_00355,1
UK1_ASV_00356,1
UK1_ASV_00359,34
UK1_ASV_00365,1
UK1_ASV_00368,32
UK1_ASV_00369,32
UK1_ASV_00370,32
UK1_ASV_00371,32
UK1_ASV_00373,32
UK1_ASV_00374,32
UK1_ASV_00376,32
UK1_ASV_00377,32
UK1_ASV_00378,32
UK1_ASV_00380,32
UK1_ASV_00381,32
UK1_ASV_00382,32
UK1_ASV_00384,32
UK1_ASV_00385,32
UK1_ASV_00387,32
UK1_ASV_00390,32
UK1_ASV_00391,32
UK1_ASV_00392,32
UK1_ASV_00393,32
UK1_ASV_00394,32
UK1_ASV_00397,32
UK1_ASV_00398,32
UK1_ASV_00399,32
UK1_ASV_00402,32
UK1_ASV_00406,32
UK1_ASV_00410,32
UK1_ASV_00411,32
UK1_ASV_00416,32
UK1_ASV_00421,32
UK1_ASV_00422,32
UK1_ASV_00425,32
UK1_ASV_00426,32
UK1_ASV_00428,32
UK1_ASV_00429,32
UK1_ASV_00430,32
UK1_ASV_00436,32
UK1_ASV_00437,32
UK1_ASV_00442,32
UK1_ASV_00443,32
UK1_ASV_00444,32
UK1_ASV_00445,32
UK1_ASV_00447,32
UK1_ASV_00452,32
UK1_ASV_00454,32
UK1_ASV_00455,32
UK1_ASV_00457,32
UK1_ASV_00458,32
UK1_ASV_00461,32
UK1_ASV_00462,32
UK1_ASV_00463,32
UK1_ASV_00464,32
UK1_ASV_00468,32
UK1_ASV_00471,32
UK1_ASV_00474,32
UK1_ASV_00475,32
UK1_ASV_00476,32
UK1_ASV_00477,32
UK1_ASV_00483,32
UK1_ASV_00486,32
UK1_ASV_00487,32
UK1_ASV_00490,13
UK1_ASV_00493,32
UK1_ASV_00494,32
UK1_ASV_00495,32
UK1_ASV_00499,32
UK1_ASV_00501,32
UK1_ASV_00506,32
UK1_ASV_00507,32
UK1_ASV_00508,13
UK1_ASV_00510,13
UK1_ASV_00511,32
UK1_ASV_00512,13
UK1_ASV_00513,13
UK1_ASV_00517,32
UK1_ASV_00519,32
UK1_ASV_00522,13
UK1_ASV_00524,32
UK1_ASV_00526,32
UK1_ASV_00527,13
UK1_ASV_00528,13
UK1_ASV_00529,32
UK1_ASV_00530,32
UK1_ASV_00537,13
UK1_ASV_00538,13
UK1_ASV_00541,13
UK1_ASV_00542,13
UK1_ASV_00550,32
UK1_ASV_00551,13
UK1_ASV_00554,13
UK1_ASV_00556,13
UK1_ASV_00562,13
UK1_ASV_00564,13
UK1_ASV_00566,13
UK1_ASV_00568,13
UK1_ASV_00569,13
UK1_ASV_00570,13
UK1_ASV_00574,13
UK1_ASV_00576,13
UK1_ASV_00577,13
UK1_ASV_00581,13
UK1_ASV_00584,13
UK1_ASV_00587,13
UK1_ASV_00589,13
UK1_ASV_00591,13
UK1_ASV_00595,13
UK1_ASV_00604,13
UK1_ASV_00607,13
UK1_ASV_00611,13
UK1_ASV_00612,13
UK1_ASV_00615,13
UK1_ASV_00618,13
UK1_ASV_00620,13
UK1_ASV_00622,13
UK1_ASV_00627,13
UK1_ASV_00628,13
UK1_ASV_00635,13
UK1_ASV_00641,13
UK1_ASV_00643,13
UK1_ASV_00651,13
UK1_ASV_00654,13
UK1_ASV_00656,13
UK1_ASV_00657,13
UK1_ASV_00671,13
UK1_ASV_00673,13
UK1_ASV_00679,13
UK1_ASV_00690,13
UK1_ASV_00697,13
UK1_ASV_00700,13
UK1_ASV_00701,13
UK1_ASV_00708,13
UK1_ASV_00721,13
UK1_ASV_00727,13
UK1_ASV_00733,13
UK1_ASV_00736,13
UK1_ASV_00744,13
UK1_ASV_00745,13
UK1_ASV_00751,13
UK1_ASV_00755,13
UK1_ASV_00758,13
UK1_ASV_00769,13
UK1_ASV_00770,13
UK1_ASV_00772,13
UK1_ASV_00778,13
UK1_ASV_00779,13
UK1_ASV_00789,13
UK1_ASV_00806,13
UK1_ASV_00812,13
UK1_ASV_00813,13
UK1_ASV_00814,13
UK1_ASV_00815,13
UK1_ASV_00817,13
UK1_ASV_00819,13
UK1_ASV_00821,13
UK1_ASV_00828,13
UK1_ASV_00832,13
UK1_ASV_00843,13
UK1_ASV_00851,13
UK1_ASV_00852,13
UK1_ASV_00864,13
UK1_ASV_00880,13
UK1_ASV_00881,13
UK1_ASV_00890,13
UK1_ASV_00902,13
UK1_ASV_00912,13
UK1_ASV_00929,13
UK1_ASV_00958,13
UK1_ASV_00959,13
UK1_ASV_00987,13
UK1_ASV_00990,13
UK1_ASV_01031,13
UK1_ASV_01062,13
UK1_ASV_01065,13
UK1_ASV_01066,13
UK1_ASV_01071,13
UK1_ASV_01087,13
UK1_ASV_01089,13
UK1_ASV_01090,13
UK1_ASV_01101,13
UK1_ASV_01150,13
UK1_ASV_01204,13
UK1_ASV_01250,13
UK1_ASV_01288,13
UK1_ASV_01328,13
UK1_ASV_01368,13
UK1_ASV_01533,13
UK2_ASV_00001,16
UK2_ASV_00002,31
UK2_ASV_00005,31
UK2_ASV_00009,30
UK2_ASV_00010,30
UK2_ASV_00011,31
UK2_ASV_00013,30
UK2_ASV_00014,31
UK2_ASV_00015,31
UK2_ASV_00016,31
UK2_ASV_00017,16
UK2_ASV_00018,31
UK2_ASV_00020,30
UK2_ASV_00021,31
UK2_ASV_00024,30
UK2_ASV_00030,31
UK2_ASV_00031,30
UK2_ASV_00032,31
UK2_ASV_00033,30
UK2_ASV_00034,30
UK2_ASV_00035,16
UK2_ASV_00036,31
UK2_ASV_00037,16
UK2_ASV_00038,16
UK2_ASV_00039,31
UK2_ASV_00040,30
UK2_ASV_00041,16
UK2_ASV_00042,30
UK2_ASV_00043,16
UK2_ASV_00044,30
UK2_ASV_00045,16
UK2_ASV_00048,31
UK2_ASV_00049,31
UK2_ASV_00050,31
UK2_ASV_00051,31
UK2_ASV_00052,31
UK2_ASV_00054,30
UK2_ASV_00055,16
UK2_ASV_00056,31
UK2_ASV_00057,31
UK2_ASV_00058,31
UK2_ASV_00059,31
UK2_ASV_00060,31
UK2_ASV_00061,31
UK2_ASV_00062,30
UK2_ASV_00063,31
UK2_ASV_00064,16
UK2_ASV_00066,31
UK2_ASV_00068,16
UK2_ASV_00069,31
UK2_ASV_00070,16
UK2_ASV_00071,31
UK2_ASV_00072,31
UK2_ASV_00073,16
UK2_ASV_00074,16
UK2_ASV_00075,16
UK2_ASV_00076,31
UK2_ASV_00078,16
UK2_ASV_00079,16
UK2_ASV_00080,31
UK2_ASV_00081,16
UK2_ASV_00082,16
UK2_ASV_00083,31
UK2_ASV_00084,16
UK2_ASV_00085,31
UK2_ASV_00086,31
UK2_ASV_00087,30
UK2_ASV_00088,31
UK2_ASV_00089,31
UK2_ASV_00090,31
UK2_ASV_00091,16
UK2_ASV_00092,31
UK2_ASV_00093,12
UK2_ASV_00094,12
UK2_ASV_00095,16
UK2_ASV_00096,30
UK2_ASV_00097,31
UK2_ASV_00099,16
UK2_ASV_00100,31
UK2_ASV_00101,12
UK2_ASV_00102,16
UK2_ASV_00103,16
UK2_ASV_00104,31
UK2_ASV_00105,12
UK2_ASV_00106,16
UK2_ASV_00107,16
UK2_ASV_00108,16
UK2_ASV_00109,16
UK2_ASV_00110,12
UK2_ASV_00112,16
UK2_ASV_00113,31
UK2_ASV_00116,31
UK2_ASV_00117,16
UK2_ASV_00118,31
UK2_ASV_00119,16
UK2_ASV_00120,16
UK2_ASV_00121,12
UK2_ASV_00123,31
UK2_ASV_00125,16
UK2_ASV_00126,31
UK2_ASV_00127,16
UK2_ASV_00128,31
UK2_ASV_00129,16
UK2_ASV_00130,12
UK2_ASV_00131,12
UK2_ASV_00132,31
UK2_ASV_00133,16
UK2_ASV_00134,31
UK2_ASV_00135,31
UK2_ASV_00136,31
UK2_ASV_00137,16
UK2_ASV_00138,31
UK2_ASV_00139,12
UK2_ASV_00140,12
UK2_ASV_00141,16
UK2_ASV_00142,30
UK2_ASV_00143,31
UK2_ASV_00144,16
UK2_ASV_00146,12
UK2_ASV_00147,16
UK2_ASV_00148,22
UK2_ASV_00149,31
UK2_ASV_00151,31
UK2_ASV_00152,16
UK2_ASV_00153,12
UK2_ASV_00155,16
UK2_ASV_00156,16
UK2_ASV_00157,12
UK2_ASV_00158,16
UK2_ASV_00159,16
UK2_ASV_00160,12
UK2_ASV_00161,12
UK2_ASV_00162,16
UK2_ASV_00163,12
UK2_ASV_00164,31
UK2_ASV_00165,16
UK2_ASV_00166,12
UK2_ASV_00167,31
UK2_ASV_00168,12
UK2_ASV_00169,16
UK2_ASV_00170,16
UK2_ASV_00171,12
UK2_ASV_00172,12
UK2_ASV_00173,16
UK2_ASV_00174,31
UK2_ASV_00176,16
UK2_ASV_00177,12
UK2_ASV_00179,16
UK2_ASV_00180,38
UK2_ASV_00181,38
UK2_ASV_00182,12
UK2_ASV_00183,16
UK2_ASV_00184,16
UK2_ASV_00185,38
UK2_ASV_00186,16
UK2_ASV_00187,12
UK2_ASV_00188,16
UK2_ASV_00189,12
UK2_ASV_00190,38
UK2_ASV_00191,22
UK2_ASV_00193,12
UK2_ASV_00194,16
UK2_ASV_00196,38
UK2_ASV_00197,38
UK2_ASV_00198,16
UK2_ASV_00200,38
UK2_ASV_00201,38
UK2_ASV_00202,16
UK2_ASV_00203,16
UK2_ASV_00204,38
UK2_ASV_00205,16
UK2_ASV_00206,12
UK2_ASV_00209,38
UK2_ASV_00210,38
UK2_ASV_00211,12
UK2_ASV_00212,16
UK2_ASV_00213,16
UK2_ASV_00214,16
UK2_ASV_00215,12
UK2_ASV_00217,12
UK2_ASV_00218,38
UK2_ASV_00219,38
UK2_ASV_00221,16
UK2_ASV_00223,12
UK2_ASV_00224,38
UK2_ASV_00226,38
UK2_ASV_00227,16
UK2_ASV_00228,12
UK2_ASV_00229,22
UK2_ASV_00230,16
UK2_ASV_00231,38
UK2_ASV_00232,38
UK2_ASV_00233,16
UK2_ASV_00235,16
UK2_ASV_00236,38
UK2_ASV_00238,16
UK2_ASV_00239,16
UK2_ASV_00240,38
UK2_ASV_00241,38
UK2_ASV_00242,38
UK2_ASV_00243,12
UK2_ASV_00244,16
UK2_ASV_00245,38
UK2_ASV_00248,38
UK2_ASV_00249,12
UK2_ASV_00250,12
UK2_ASV_00251,12
UK2_ASV_00252,12
UK2_ASV_00253,16
UK2_ASV_00254,16
UK2_ASV_00255,38
UK2_ASV_00256,12
UK2_ASV_00257,16
UK2_ASV_00258,38
UK2_ASV_00259,16
UK2_ASV_00260,38
UK2_ASV_00261,12
UK2_ASV_00262,38
UK2_ASV_00263,16
UK2_ASV_00264,22
UK2_ASV_00265,22
UK2_ASV_00266,16
UK2_ASV_00267,12
UK2_ASV_00268,12
UK2_ASV_00269,12
UK2_ASV_00270,38
UK2_ASV_00272,16
UK2_ASV_00273,16
UK2_ASV_00274,38
UK2_ASV_00275,38
UK2_ASV_00276,12
UK2_ASV_00277,38
UK2_ASV_00278,16
UK2_ASV_00280,12
UK2_ASV_00281,38
UK2_ASV_00282,12
UK2_ASV_00283,12
UK2_ASV_00285,16
UK2_ASV_00286,16
UK2_ASV_00287,16
UK2_ASV_00288,16
UK2_ASV_00289,38
UK2_ASV_00290,38
UK2_ASV_00292,22
UK2_ASV_00293,38
UK2_ASV_00294,16
UK2_ASV_00295,3
UK2_ASV_00296,12
UK2_ASV_00297,38
UK2_ASV_00298,12
UK2_ASV_00299,38
UK2_ASV_00300,12
UK2_ASV_00301,38
UK2_ASV_00302,12
UK2_ASV_00303,12
UK2_ASV_00304,12
UK2_ASV_00305,38
UK2_ASV_00307,3
UK2_ASV_00309,38
UK2_ASV_00310,38
UK2_ASV_00311,38
UK2_ASV_00313,3
UK2_ASV_00314,38
UK2_ASV_00315,12
UK2_ASV_00316,22
UK2_ASV_00318,38
UK2_ASV_00319,38
UK2_ASV_00320,3
UK2_ASV_00321,3
UK2_ASV_00322,22
UK2_ASV_00323,3
UK2_ASV_00324,38
UK2_ASV_00325,3
UK2_ASV_00326,3
UK2_ASV_00328,3
UK2_ASV_00329,38
UK2_ASV_00331,38
UK2_ASV_00332,38
UK2_ASV_00333,3
UK2_ASV_00334,38
UK2_ASV_00335,38
UK2_ASV_00337,3
UK2_ASV_00338,38
UK2_ASV_00339,22
UK2_ASV_00340,3
UK2_ASV_00341,38
UK2_ASV_00342,12
UK2_ASV_00346,12
UK2_ASV_00349,38
UK2_ASV_00350,38
UK2_ASV_00351,38
UK2_ASV_00352,3
UK2_ASV_00355,3
UK2_ASV_00356,38
UK2_ASV_00358,38
UK2_ASV_00360,38
UK2_ASV_00361,7
UK2_ASV_00362,7
UK2_ASV_00363,38
UK2_ASV_00364,7
UK2_ASV_00365,22
UK2_ASV_00367,12
UK2_ASV_00368,3
UK2_ASV_00369,3
UK2_ASV_00370,7
UK2_ASV_00371,7
UK2_ASV_00372,22
UK2_ASV_00373,7
UK2_ASV_00374,3
UK2_ASV_00375,7
UK2_ASV_00376,7
UK2_ASV_00377,7
UK2_ASV_00378,12
UK2_ASV_00379,7
UK2_ASV_00380,3
UK2_ASV_00381,22
UK2_ASV_00382,7
UK2_ASV_00384,22
UK2_ASV_00385,12
UK2_ASV_00386,7
UK2_ASV_00387,7
UK2_ASV_00388,7
UK2_ASV_00389,7
UK2_ASV_00390,3
UK2_ASV_00391,3
UK2_ASV_00392,7
UK2_ASV_00393,3
UK2_ASV_00394,3
UK2_ASV_00395,7
UK2_ASV_00398,22
UK2_ASV_00399,3
UK2_ASV_00400,3
UK2_ASV_00402,3
UK2_ASV_00404,7
UK2_ASV_00406,22
UK2_ASV_00407,7
UK2_ASV_00409,7
UK2_ASV_00410,3
UK2_ASV_00411,3
UK2_ASV_00413,7
UK2_ASV_00415,7
UK2_ASV_00416,22
UK2_ASV_00417,7
UK2_ASV_00419,22
UK2_ASV_00420,7
UK2_ASV_00421,3
UK2_ASV_00424,7
UK2_ASV_00425,3
UK2_ASV_00426,7
UK2_ASV_00428,22
UK2_ASV_00429,3
UK2_ASV_00431,7
UK2_ASV_00434,7
UK2_ASV_00435,7
UK2_ASV_00436,7
UK2_ASV_00437,3
UK2_ASV_00438,7
UK2_ASV_00439,22
UK2_ASV_00441,3
UK2_ASV_00442,7
UK2_ASV_00444,7
UK2_ASV_00447,3
UK2_ASV_00448,3
UK2_ASV_00450,7
UK2_ASV_00452,22
UK2_ASV_00453,7
UK2_ASV_00454,3
UK2_ASV_00456,22
UK2_ASV_00457,3
UK2_ASV_00458,3
UK2_ASV_00459,22
UK2_ASV_00461,22
UK2_ASV_00462,7
UK2_ASV_00464,3
UK2_ASV_00466,22
UK2_ASV_00467,3
UK2_ASV_00468,22
UK2_ASV_00471,7
UK2_ASV_00474,7
UK2_ASV_00475,3
UK2_ASV_00477,22
UK2_ASV_00478,7
UK2_ASV_00479,22
UK2_ASV_00481,7
UK2_ASV_00483,7
UK2_ASV_00484,7
UK2_ASV_00486,3
UK2_ASV_00487,7
UK2_ASV_00490,7
UK2_ASV_00492,7
UK2_ASV_00493,22
UK2_ASV_00494,7
UK2_ASV_00495,7
UK2_ASV_00496,3
UK2_ASV_00497,7
UK2_ASV_00501,3
UK2_ASV_00502,22
UK2_ASV_00504,22
UK2_ASV_00507,3
UK2_ASV_00510,7
UK2_ASV_00511,3
UK2_ASV_00512,22
UK2_ASV_00517,22
UK2_ASV_00520,22
UK2_ASV_00522,7
UK2_ASV_00524,3
UK2_ASV_00527,7
UK2_ASV_00529,3
UK2_ASV_00531,7
UK2_ASV_00532,7
UK2_ASV_00535,7
UK2_ASV_00536,22
UK2_ASV_00538,22
UK2_ASV_00540,22
UK2_ASV_00541,7
UK2_ASV_00543,7
UK2_ASV_00545,7
UK2_ASV_00546,7
UK2_ASV_00548,22
UK2_ASV_00550,3
UK2_ASV_00552,22
UK2_ASV_00554,7
UK2_ASV_00555,7
UK2_ASV_00557,7
UK2_ASV_00558,7
UK2_ASV_00559,7
UK2_ASV_00563,7
UK2_ASV_00565,7
UK2_ASV_00566,22
UK2_ASV_00568,19
UK2_ASV_00570,22
UK2_ASV_00572,7
UK2_ASV_00574,22
UK2_ASV_00575,7
UK2_ASV_00576,3
UK2_ASV_00577,7
UK2_ASV_00581,3
UK2_ASV_00582,7
UK2_ASV_00584,3
UK2_ASV_00585,19
UK2_ASV_00586,3
UK2_ASV_00587,7
UK2_ASV_00589,3
UK2_ASV_00591,22
UK2_ASV_00593,22
UK2_ASV_00595,22
UK2_ASV_00597,7
UK2_ASV_00600,22
UK2_ASV_00602,22
UK2_ASV_00603,7
UK2_ASV_00604,3
UK2_ASV_00607,7
UK2_ASV_00618,22
UK2_ASV_00620,7
UK2_ASV_00622,3
UK2_ASV_00626,22
UK2_ASV_00627,7
UK2_ASV_00628,3
UK2_ASV_00629,7
UK2_ASV_00630,22
UK2_ASV_00633,19
UK2_ASV_00635,3
UK2_ASV_00637,3
UK2_ASV_00638,22
UK2_ASV_00639,19
UK2_ASV_00640,22
UK2_ASV_00641,3
UK2_ASV_00643,22
UK2_ASV_00645,19
UK2_ASV_00647,22
UK2_ASV_00651,19
UK2_ASV_00653,19
UK2_ASV_00654,19
UK2_ASV_00656,22
UK2_ASV_00657,3
UK2_ASV_00660,19
UK2_ASV_00663,19
UK2_ASV_00665,22
UK2_ASV_00669,3
UK2_ASV_00670,19
UK2_ASV_00671,3
UK2_ASV_00673,3
UK2_ASV_00676,19
UK2_ASV_00682,19
UK2_ASV_00686,22
UK2_ASV_00688,19
UK2_ASV_00689,19
UK2_ASV_00693,19
UK2_ASV_00694,19
UK2_ASV_00695,19
UK2_ASV_00699,19
UK2_ASV_00705,19
UK2_ASV_00709,22
UK2_ASV_00721,3
UK2_ASV_00723,22
UK2_ASV_00726,19
UK2_ASV_00727,19
UK2_ASV_00728,3
UK2_ASV_00730,22
UK2_ASV_00733,3
UK2_ASV_00736,22
UK2_ASV_00737,19
UK2_ASV_00742,3
UK2_ASV_00743,19
UK2_ASV_00744,3
UK2_ASV_00747,19
UK2_ASV_00751,22
UK2_ASV_00752,19
UK2_ASV_00755,19
UK2_ASV_00757,3
UK2_ASV_00761,19
UK2_ASV_00762,19
UK2_ASV_00763,19
UK2_ASV_00769,19
UK2_ASV_00770,22
UK2_ASV_00772,19
UK2_ASV_00781,3
UK2_ASV_00790,3
UK2_ASV_00793,22
UK2_ASV_00795,22
UK2_ASV_00797,19
UK2_ASV_00799,19
UK2_ASV_00801,19
UK2_ASV_00804,19
UK2_ASV_00806,22
UK2_ASV_00807,3
UK2_ASV_00808,22
UK2_ASV_00809,3
UK2_ASV_00810,19
UK2_ASV_00812,3
UK2_ASV_00814,3
UK2_ASV_00821,3
UK2_ASV_00825,22
UK2_ASV_00829,22
UK2_ASV_00832,3
UK2_ASV_00833,3
UK2_ASV_00834,19
UK2_ASV_00837,19
UK2_ASV_00848,22
UK2_ASV_00852,19
UK2_ASV_00854,22
UK2_ASV_00855,19
UK2_ASV_00856,19
UK2_ASV_00865,3
UK2_ASV_00874,19
UK2_ASV_00879,19
UK2_ASV_00880,3
UK2_ASV_00881,19
UK2_ASV_00885,19
UK2_ASV_00887,19
UK2_ASV_00888,19
UK2_ASV_00890,19
UK2_ASV_00891,19
UK2_ASV_00897,19
UK2_ASV_00904,19
UK2_ASV_00907,19
UK2_ASV_00912,3
UK2_ASV_00920,19
UK2_ASV_00928,19
UK2_ASV_00931,22
UK2_ASV_00936,19
UK2_ASV_00949,19
UK2_ASV_00952,19
UK2_ASV_00957,19
UK2_ASV_00959,3
UK2_ASV_00960,19
UK2_ASV_00968,19
UK2_ASV_00976,22
UK2_ASV_00978,19
UK2_ASV_00979,3
UK2_ASV_00982,3
UK2_ASV_00987,3
UK2_ASV_00996,19
UK2_ASV_01007,3
UK2_ASV_01022,19
UK2_ASV_01027,19
UK2_ASV_01040,22
UK2_ASV_01044,19
UK2_ASV_01057,19
UK2_ASV_01060,22
UK2_ASV_01062,22
UK2_ASV_01065,3
UK2_ASV_01078,22
UK2_ASV_01085,19
UK2_ASV_01090,22
UK2_ASV_01094,19
UK2_ASV_01101,3
UK2_ASV_01159,22
UK2_ASV_01169,22
UK2_ASV_01178,19
UK2_ASV_01181,19
UK2_ASV_01188,19
UK2_ASV_01195,22
UK2_ASV_01204,3
