"","V1","V2","V3","V4","V5","V6","Farm","Cow_Code","Country"
"203",272,272,0,0,2,-9,"UK2","UK272","UK"
"204",274,274,0,0,2,-9,"UK2","UK274","UK"
"205",275,275,0,0,2,-9,"UK2","UK275","UK"
"206",276,276,0,0,2,-9,"UK2","UK276","UK"
"207",277,277,0,0,2,-9,"UK2","UK277","UK"
"208",278,278,0,0,2,-9,"UK2","UK278","UK"
"209",279,279,0,0,2,-9,"UK2","UK279","UK"
"210",28,28,0,0,2,-9,"UK1","UK28","UK"
"211",280,280,0,0,2,-9,"UK1","UK280","UK"
"212",281,281,0,0,2,-9,"UK2","UK281","UK"
"213",282,282,0,0,2,-9,"UK2","UK282","UK"
"214",283,283,0,0,2,-9,"UK1","UK283","UK"
"215",284,284,0,0,2,-9,"UK1","UK284","UK"
"216",286,286,0,0,2,-9,"UK1","UK286","UK"
"217",287,287,0,0,2,-9,"UK1","UK287","UK"
"218",29,29,0,0,2,-9,"UK1","UK29","UK"
"219",291,291,0,0,2,-9,"UK1","UK291","UK"
"220",292,292,0,0,2,-9,"UK1","UK292","UK"
"221",293,293,0,0,2,-9,"UK1","UK293","UK"
"222",294,294,0,0,2,-9,"UK1","UK294","UK"
"223",297,297,0,0,2,-9,"UK2","UK297","UK"
"224",299,299,0,0,2,-9,"UK2","UK299","UK"
"225",30,30,0,0,2,-9,"UK1","UK30","UK"
"226",300,300,0,0,2,-9,"UK2","UK300","UK"
"227",301,301,0,0,2,-9,"UK2","UK301","UK"
"228",303,303,0,0,2,-9,"UK2","UK303","UK"
"229",304,304,0,0,2,-9,"UK2","UK304","UK"
"230",305,305,0,0,2,-9,"UK2","UK305","UK"
"231",306,306,0,0,2,-9,"UK2","UK306","UK"
"232",308,308,0,0,2,-9,"UK2","UK308","UK"
"233",309,309,0,0,2,-9,"UK2","UK309","UK"
"234",31,31,0,0,2,-9,"UK1","UK31","UK"
"235",310,310,0,0,2,-9,"UK2","UK310","UK"
"236",311,311,0,0,2,-9,"UK2","UK311","UK"
"237",312,312,0,0,2,-9,"UK2","UK312","UK"
"238",313,313,0,0,2,-9,"UK2","UK313","UK"
"239",314,314,0,0,2,-9,"UK2","UK314","UK"
"240",315,315,0,0,2,-9,"UK2","UK315","UK"
"241",316,316,0,0,2,-9,"UK2","UK316","UK"
"242",317,317,0,0,2,-9,"UK2","UK317","UK"
"243",318,318,0,0,2,-9,"UK2","UK318","UK"
"244",319,319,0,0,2,-9,"UK2","UK319","UK"
"245",32,32,0,0,2,-9,"UK1","UK32","UK"
"246",320,320,0,0,2,-9,"UK2","UK320","UK"
"247",321,321,0,0,2,-9,"UK2","UK321","UK"
"248",322,322,0,0,2,-9,"UK2","UK322","UK"
"249",323,323,0,0,2,-9,"UK2","UK323","UK"
"250",325,325,0,0,2,-9,"UK2","UK325","UK"
"251",326,326,0,0,2,-9,"UK2","UK326","UK"
"252",327,327,0,0,2,-9,"UK2","UK327","UK"
"253",328,328,0,0,2,-9,"UK2","UK328","UK"
"254",329,329,0,0,2,-9,"UK2","UK329","UK"
"255",33,33,0,0,2,-9,"UK1","UK33","UK"
"256",330,330,0,0,2,-9,"UK2","UK330","UK"
"257",331,331,0,0,2,-9,"UK2","UK331","UK"
"258",332,332,0,0,2,-9,"UK2","UK332","UK"
"259",333,333,0,0,2,-9,"UK2","UK333","UK"
"260",334,334,0,0,2,-9,"UK2","UK334","UK"
"261",335,335,0,0,2,-9,"UK2","UK335","UK"
"262",336,336,0,0,2,-9,"UK2","UK336","UK"
"263",337,337,0,0,2,-9,"UK2","UK337","UK"
"264",338,338,0,0,2,-9,"UK2","UK338","UK"
"265",339,339,0,0,2,-9,"UK2","UK339","UK"
"266",34,34,0,0,2,-9,"UK1","UK34","UK"
"267",340,340,0,0,2,-9,"UK2","UK340","UK"
"268",341,341,0,0,2,-9,"UK2","UK341","UK"
"269",342,342,0,0,2,-9,"UK2","UK342","UK"
"270",343,343,0,0,2,-9,"UK2","UK343","UK"
"271",344,344,0,0,2,-9,"UK1","UK344","UK"
