"","sp1","sp2","weight","sp1_inc","sp2_inc","obs_cooccur","exp_cooccur","p_lt","p_gt","sp1_name","sp2_name","level","level_name","edge_type"
"46",1,47,0.754,61,46,46,46,1,1,"ASV_00002","ASV_00058","Farm","Mink","not_significant"
"47",1,48,0.951,61,58,58,58,1,1,"ASV_00002","ASV_00059","Farm","Mink","not_significant"
"48",1,49,0.689,61,42,42,42,1,1,"ASV_00002","ASV_00060","Farm","Mink","not_significant"
"49",1,50,0.721,61,44,44,44,1,1,"ASV_00002","ASV_00061","Farm","Mink","not_significant"
"50",1,51,1,61,61,61,61,1,1,"ASV_00002","ASV_00062","Farm","Mink","not_significant"
"51",1,52,0.508,61,31,31,31,1,1,"ASV_00002","ASV_00063","Farm","Mink","not_significant"
"52",1,53,0.377,61,23,23,23,1,1,"ASV_00002","ASV_00064","Farm","Mink","not_significant"
"53",1,54,0.705,61,43,43,43,1,1,"ASV_00002","ASV_00066","Farm","Mink","not_significant"
"54",1,55,1,61,61,61,61,1,1,"ASV_00002","ASV_00067","Farm","Mink","not_significant"
"55",1,56,0.705,61,43,43,43,1,1,"ASV_00002","ASV_00069","Farm","Mink","not_significant"
"56",1,57,0.344,61,21,21,21,1,1,"ASV_00002","ASV_00070","Farm","Mink","not_significant"
"57",1,58,0.459,61,28,28,28,1,1,"ASV_00002","ASV_00071","Farm","Mink","not_significant"
"58",1,59,0.672,61,41,41,41,1,1,"ASV_00002","ASV_00076","Farm","Mink","not_significant"
"59",1,60,0.443,61,27,27,27,1,1,"ASV_00002","ASV_00078","Farm","Mink","not_significant"
"60",1,61,0.361,61,22,22,22,1,1,"ASV_00002","ASV_00080","Farm","Mink","not_significant"
"61",1,62,0.738,61,45,45,45,1,1,"ASV_00002","ASV_00083","Farm","Mink","not_significant"
"62",1,63,0.311,61,19,19,19,1,1,"ASV_00002","ASV_00084","Farm","Mink","not_significant"
"63",1,64,0.623,61,38,38,38,1,1,"ASV_00002","ASV_00085","Farm","Mink","not_significant"
"64",1,65,0.869,61,53,53,53,1,1,"ASV_00002","ASV_00086","Farm","Mink","not_significant"
"65",1,66,0.656,61,40,40,40,1,1,"ASV_00002","ASV_00087","Farm","Mink","not_significant"
"66",1,67,0.82,61,50,50,50,1,1,"ASV_00002","ASV_00090","Farm","Mink","not_significant"
"67",1,68,0.689,61,42,42,42,1,1,"ASV_00002","ASV_00092","Farm","Mink","not_significant"
"68",1,69,0.689,61,42,42,42,1,1,"ASV_00002","ASV_00096","Farm","Mink","not_significant"
"69",1,70,0.311,61,19,19,19,1,1,"ASV_00002","ASV_00099","Farm","Mink","not_significant"
"70",1,71,0.377,61,23,23,23,1,1,"ASV_00002","ASV_00100","Farm","Mink","not_significant"
"71",1,72,0.607,61,37,37,37,1,1,"ASV_00002","ASV_00101","Farm","Mink","not_significant"
"72",1,73,0.934,61,57,57,57,1,1,"ASV_00002","ASV_00104","Farm","Mink","not_significant"
"73",1,74,0.918,61,56,56,56,1,1,"ASV_00002","ASV_00105","Farm","Mink","not_significant"
"74",1,75,0.607,61,37,37,37,1,1,"ASV_00002","ASV_00106","Farm","Mink","not_significant"
"75",1,76,0.311,61,19,19,19,1,1,"ASV_00002","ASV_00107","Farm","Mink","not_significant"
"76",1,77,0.377,61,23,23,23,1,1,"ASV_00002","ASV_00112","Farm","Mink","not_significant"
"77",1,78,0.443,61,27,27,27,1,1,"ASV_00002","ASV_00113","Farm","Mink","not_significant"
"78",1,79,0.393,61,24,24,24,1,1,"ASV_00002","ASV_00116","Farm","Mink","not_significant"
"79",1,80,0.525,61,32,32,32,1,1,"ASV_00002","ASV_00121","Farm","Mink","not_significant"
"80",1,81,0.426,61,26,26,26,1,1,"ASV_00002","ASV_00123","Farm","Mink","not_significant"
"81",1,82,0.393,61,24,24,24,1,1,"ASV_00002","ASV_00126","Farm","Mink","not_significant"
"82",1,83,0.934,61,57,57,57,1,1,"ASV_00002","ASV_00128","Farm","Mink","not_significant"
"83",1,84,0.344,61,21,21,21,1,1,"ASV_00002","ASV_00130","Farm","Mink","not_significant"
"84",1,85,0.902,61,55,55,55,1,1,"ASV_00002","ASV_00131","Farm","Mink","not_significant"
"85",1,86,0.311,61,19,19,19,1,1,"ASV_00002","ASV_00133","Farm","Mink","not_significant"
"86",1,87,0.754,61,46,46,46,1,1,"ASV_00002","ASV_00136","Farm","Mink","not_significant"
"87",1,88,0.705,61,43,43,43,1,1,"ASV_00002","ASV_00138","Farm","Mink","not_significant"
"88",1,89,0.41,61,25,25,25,1,1,"ASV_00002","ASV_00144","Farm","Mink","not_significant"
"89",1,90,0.459,61,28,28,28,1,1,"ASV_00002","ASV_00156","Farm","Mink","not_significant"
"90",1,91,0.672,61,41,41,41,1,1,"ASV_00002","ASV_00157","Farm","Mink","not_significant"
"91",1,92,0.508,61,31,31,31,1,1,"ASV_00002","ASV_00158","Farm","Mink","not_significant"
"92",1,93,0.689,61,42,42,42,1,1,"ASV_00002","ASV_00163","Farm","Mink","not_significant"
"93",1,94,0.59,61,36,36,36,1,1,"ASV_00002","ASV_00164","Farm","Mink","not_significant"
"94",1,95,0.656,61,40,40,40,1,1,"ASV_00002","ASV_00171","Farm","Mink","not_significant"
"95",1,96,0.541,61,33,33,33,1,1,"ASV_00002","ASV_00174","Farm","Mink","not_significant"
"96",1,97,0.443,61,27,27,27,1,1,"ASV_00002","ASV_00177","Farm","Mink","not_significant"
"97",1,98,0.393,61,24,24,24,1,1,"ASV_00002","ASV_00181","Farm","Mink","not_significant"
"98",1,99,0.475,61,29,29,29,1,1,"ASV_00002","ASV_00185","Farm","Mink","not_significant"
"99",1,100,0.623,61,38,38,38,1,1,"ASV_00002","ASV_00190","Farm","Mink","not_significant"
"100",1,101,0.869,61,53,53,53,1,1,"ASV_00002","ASV_00197","Farm","Mink","not_significant"
"101",1,102,0.377,61,23,23,23,1,1,"ASV_00002","ASV_00200","Farm","Mink","not_significant"
"102",1,103,0.525,61,32,32,32,1,1,"ASV_00002","ASV_00201","Farm","Mink","not_significant"
"103",1,104,0.557,61,34,34,34,1,1,"ASV_00002","ASV_00204","Farm","Mink","not_significant"
"104",1,105,0.328,61,20,20,20,1,1,"ASV_00002","ASV_00206","Farm","Mink","not_significant"
"105",1,106,0.311,61,19,19,19,1,1,"ASV_00002","ASV_00209","Farm","Mink","not_significant"
"106",1,107,0.393,61,24,24,24,1,1,"ASV_00002","ASV_00210","Farm","Mink","not_significant"
"107",1,108,0.443,61,27,27,27,1,1,"ASV_00002","ASV_00218","Farm","Mink","not_significant"
"108",1,109,0.459,61,28,28,28,1,1,"ASV_00002","ASV_00223","Farm","Mink","not_significant"
"109",1,110,0.803,61,49,49,49,1,1,"ASV_00002","ASV_00224","Farm","Mink","not_significant"
"110",1,111,0.836,61,51,51,51,1,1,"ASV_00002","ASV_00232","Farm","Mink","not_significant"
"111",1,112,0.541,61,33,33,33,1,1,"ASV_00002","ASV_00235","Farm","Mink","not_significant"
"112",1,113,0.492,61,30,30,30,1,1,"ASV_00002","ASV_00240","Farm","Mink","not_significant"
"113",1,114,0.902,61,55,55,55,1,1,"ASV_00002","ASV_00242","Farm","Mink","not_significant"
"114",1,115,0.361,61,22,22,22,1,1,"ASV_00002","ASV_00248","Farm","Mink","not_significant"
"115",1,116,0.902,61,55,55,55,1,1,"ASV_00002","ASV_00249","Farm","Mink","not_significant"
"116",1,117,0.656,61,40,40,40,1,1,"ASV_00002","ASV_00255","Farm","Mink","not_significant"
"117",1,118,0.443,61,27,27,27,1,1,"ASV_00002","ASV_00258","Farm","Mink","not_significant"
"118",1,119,0.41,61,25,25,25,1,1,"ASV_00002","ASV_00260","Farm","Mink","not_significant"
"119",1,120,0.475,61,29,29,29,1,1,"ASV_00002","ASV_00265","Farm","Mink","not_significant"
"120",1,121,0.41,61,25,25,25,1,1,"ASV_00002","ASV_00269","Farm","Mink","not_significant"
"121",1,122,0.344,61,21,21,21,1,1,"ASV_00002","ASV_00270","Farm","Mink","not_significant"
"122",1,123,0.623,61,38,38,38,1,1,"ASV_00002","ASV_00275","Farm","Mink","not_significant"
"123",1,124,0.377,61,23,23,23,1,1,"ASV_00002","ASV_00277","Farm","Mink","not_significant"
"124",1,125,0.459,61,28,28,28,1,1,"ASV_00002","ASV_00281","Farm","Mink","not_significant"
"125",1,126,0.328,61,20,20,20,1,1,"ASV_00002","ASV_00283","Farm","Mink","not_significant"
"126",1,127,0.377,61,23,23,23,1,1,"ASV_00002","ASV_00288","Farm","Mink","not_significant"
"127",1,128,0.656,61,40,40,40,1,1,"ASV_00002","ASV_00290","Farm","Mink","not_significant"
"128",1,129,0.623,61,38,38,38,1,1,"ASV_00002","ASV_00292","Farm","Mink","not_significant"
"129",1,130,0.492,61,30,30,30,1,1,"ASV_00002","ASV_00298","Farm","Mink","not_significant"
"130",1,131,0.508,61,31,31,31,1,1,"ASV_00002","ASV_00309","Farm","Mink","not_significant"
"131",1,132,0.721,61,44,44,44,1,1,"ASV_00002","ASV_00310","Farm","Mink","not_significant"
"132",1,133,0.393,61,24,24,24,1,1,"ASV_00002","ASV_00311","Farm","Mink","not_significant"
"133",1,134,0.344,61,21,21,21,1,1,"ASV_00002","ASV_00318","Farm","Mink","not_significant"
"134",1,135,0.311,61,19,19,19,1,1,"ASV_00002","ASV_00323","Farm","Mink","not_significant"
"135",1,136,0.41,61,25,25,25,1,1,"ASV_00002","ASV_00324","Farm","Mink","not_significant"
"136",1,137,0.41,61,25,25,25,1,1,"ASV_00002","ASV_00329","Farm","Mink","not_significant"
"137",1,138,0.311,61,19,19,19,1,1,"ASV_00002","ASV_00331","Farm","Mink","not_significant"
"138",1,139,0.557,61,34,34,34,1,1,"ASV_00002","ASV_00335","Farm","Mink","not_significant"
"139",1,140,0.377,61,23,23,23,1,1,"ASV_00002","ASV_00338","Farm","Mink","not_significant"
"140",1,141,0.393,61,24,24,24,1,1,"ASV_00002","ASV_00341","Farm","Mink","not_significant"
"141",1,142,0.393,61,24,24,24,1,1,"ASV_00002","ASV_00342","Farm","Mink","not_significant"
"142",1,143,0.525,61,32,32,32,1,1,"ASV_00002","ASV_00351","Farm","Mink","not_significant"
"143",1,144,0.672,61,41,41,41,1,1,"ASV_00002","ASV_00356","Farm","Mink","not_significant"
"144",1,145,0.377,61,23,23,23,1,1,"ASV_00002","ASV_00360","Farm","Mink","not_significant"
"145",1,146,0.328,61,20,20,20,1,1,"ASV_00002","ASV_00365","Farm","Mink","not_significant"
"146",1,147,0.492,61,30,30,30,1,1,"ASV_00002","ASV_00377","Farm","Mink","not_significant"
"147",1,148,0.59,61,36,36,36,1,1,"ASV_00002","ASV_00379","Farm","Mink","not_significant"
"148",1,149,0.459,61,28,28,28,1,1,"ASV_00002","ASV_00387","Farm","Mink","not_significant"
"149",1,150,0.393,61,24,24,24,1,1,"ASV_00002","ASV_00388","Farm","Mink","not_significant"
"150",1,151,0.41,61,25,25,25,1,1,"ASV_00002","ASV_00397","Farm","Mink","not_significant"
"151",1,152,0.541,61,33,33,33,1,1,"ASV_00002","ASV_00406","Farm","Mink","not_significant"
"152",1,153,0.525,61,32,32,32,1,1,"ASV_00002","ASV_00425","Farm","Mink","not_significant"
"153",1,154,0.738,61,45,45,45,1,1,"ASV_00002","ASV_00426","Farm","Mink","not_significant"
"154",1,155,0.492,61,30,30,30,1,1,"ASV_00002","ASV_00435","Farm","Mink","not_significant"
"155",1,156,0.787,61,48,48,48,1,1,"ASV_00002","ASV_00452","Farm","Mink","not_significant"
"156",1,157,0.311,61,19,19,19,1,1,"ASV_00002","ASV_00464","Farm","Mink","not_significant"
"157",1,158,0.525,61,32,32,32,1,1,"ASV_00002","ASV_00474","Farm","Mink","not_significant"
"158",1,159,0.508,61,31,31,31,1,1,"ASV_00002","ASV_00477","Farm","Mink","not_significant"
"159",1,160,0.475,61,29,29,29,1,1,"ASV_00002","ASV_00478","Farm","Mink","not_significant"
"160",1,161,0.59,61,36,36,36,1,1,"ASV_00002","ASV_00481","Farm","Mink","not_significant"
"161",1,162,0.377,61,23,23,23,1,1,"ASV_00002","ASV_00483","Farm","Mink","not_significant"
"162",1,163,0.311,61,19,19,19,1,1,"ASV_00002","ASV_00497","Farm","Mink","not_significant"
"163",1,164,0.328,61,20,20,20,1,1,"ASV_00002","ASV_00499","Farm","Mink","not_significant"
"164",1,165,0.393,61,24,24,24,1,1,"ASV_00002","ASV_00513","Farm","Mink","not_significant"
"165",1,166,0.377,61,23,23,23,1,1,"ASV_00002","ASV_00523","Farm","Mink","not_significant"
"166",1,167,0.344,61,21,21,21,1,1,"ASV_00002","ASV_00538","Farm","Mink","not_significant"
"167",1,168,0.475,61,29,29,29,1,1,"ASV_00002","ASV_00543","Farm","Mink","not_significant"
"168",1,169,0.689,61,42,42,42,1,1,"ASV_00002","ASV_00563","Farm","Mink","not_significant"
"169",1,170,0.557,61,34,34,34,1,1,"ASV_00002","ASV_00570","Farm","Mink","not_significant"
"170",1,171,0.459,61,28,28,28,1,1,"ASV_00002","ASV_00583","Farm","Mink","not_significant"
"171",1,172,0.361,61,22,22,22,1,1,"ASV_00002","ASV_00587","Farm","Mink","not_significant"
"172",1,173,0.508,61,31,31,31,1,1,"ASV_00002","ASV_00601","Farm","Mink","not_significant"
"173",1,174,0.344,61,21,21,21,1,1,"ASV_00002","ASV_00603","Farm","Mink","not_significant"
"174",1,175,0.672,61,41,41,41,1,1,"ASV_00002","ASV_00621","Farm","Mink","not_significant"
"175",1,176,0.344,61,21,21,21,1,1,"ASV_00002","ASV_00626","Farm","Mink","not_significant"
"176",1,177,0.311,61,19,19,19,1,1,"ASV_00002","ASV_00627","Farm","Mink","not_significant"
"177",1,178,0.574,61,35,35,35,1,1,"ASV_00002","ASV_00638","Farm","Mink","not_significant"
"178",1,179,0.443,61,27,27,27,1,1,"ASV_00002","ASV_00640","Farm","Mink","not_significant"
"179",1,180,0.377,61,23,23,23,1,1,"ASV_00002","ASV_00643","Farm","Mink","not_significant"
"180",1,181,0.656,61,40,40,40,1,1,"ASV_00002","ASV_00645","Farm","Mink","not_significant"
"181",1,182,0.344,61,21,21,21,1,1,"ASV_00002","ASV_00656","Farm","Mink","not_significant"
"182",1,183,0.508,61,31,31,31,1,1,"ASV_00002","ASV_00683","Farm","Mink","not_significant"
"183",1,184,0.705,61,43,43,43,1,1,"ASV_00002","ASV_00704","Farm","Mink","not_significant"
"184",1,185,0.475,61,29,29,29,1,1,"ASV_00002","ASV_00727","Farm","Mink","not_significant"
"185",1,186,0.459,61,28,28,28,1,1,"ASV_00002","ASV_00729","Farm","Mink","not_significant"
"186",1,187,0.361,61,22,22,22,1,1,"ASV_00002","ASV_00786","Farm","Mink","not_significant"
"187",1,188,0.672,61,41,41,41,1,1,"ASV_00002","ASV_00805","Farm","Mink","not_significant"
"188",1,189,0.344,61,21,21,21,1,1,"ASV_00002","ASV_00827","Farm","Mink","not_significant"
"189",1,190,0.361,61,22,22,22,1,1,"ASV_00002","ASV_00883","Farm","Mink","not_significant"
"190",1,191,0.541,61,33,33,33,1,1,"ASV_00002","ASV_00888","Farm","Mink","not_significant"
"191",1,192,0.508,61,31,31,31,1,1,"ASV_00002","ASV_00930","Farm","Mink","not_significant"
"192",1,193,0.426,61,26,26,26,1,1,"ASV_00002","ASV_00962","Farm","Mink","not_significant"
"193",1,194,0.311,61,19,19,19,1,1,"ASV_00002","ASV_00973","Farm","Mink","not_significant"
"194",1,195,0.541,61,33,33,33,1,1,"ASV_00002","ASV_01032","Farm","Mink","not_significant"
"195",1,196,0.393,61,24,24,24,1,1,"ASV_00002","ASV_01074","Farm","Mink","not_significant"
"196",1,197,0.41,61,25,25,25,1,1,"ASV_00002","ASV_01111","Farm","Mink","not_significant"
"197",1,198,0.361,61,22,22,22,1,1,"ASV_00002","ASV_01579","Farm","Mink","not_significant"
"198",2,3,1,61,61,61,61,1,1,"ASV_00003","ASV_00004","Farm","Mink","not_significant"
"199",2,4,1,61,61,61,61,1,1,"ASV_00003","ASV_00005","Farm","Mink","not_significant"
"200",2,5,1,61,61,61,61,1,1,"ASV_00003","ASV_00006","Farm","Mink","not_significant"
"201",2,6,0.902,61,55,55,55,1,1,"ASV_00003","ASV_00007","Farm","Mink","not_significant"
"202",2,7,1,61,61,61,61,1,1,"ASV_00003","ASV_00008","Farm","Mink","not_significant"
"203",2,8,1,61,61,61,61,1,1,"ASV_00003","ASV_00009","Farm","Mink","not_significant"
"204",2,9,1,61,61,61,61,1,1,"ASV_00003","ASV_00010","Farm","Mink","not_significant"
"205",2,10,0.984,61,60,60,60,1,1,"ASV_00003","ASV_00011","Farm","Mink","not_significant"
"206",2,11,0.951,61,58,58,58,1,1,"ASV_00003","ASV_00012","Farm","Mink","not_significant"
"207",2,12,0.705,61,43,43,43,1,1,"ASV_00003","ASV_00013","Farm","Mink","not_significant"
"208",2,13,1,61,61,61,61,1,1,"ASV_00003","ASV_00014","Farm","Mink","not_significant"
"209",2,14,1,61,61,61,61,1,1,"ASV_00003","ASV_00015","Farm","Mink","not_significant"
"210",2,15,0.77,61,47,47,47,1,1,"ASV_00003","ASV_00016","Farm","Mink","not_significant"
"211",2,16,0.951,61,58,58,58,1,1,"ASV_00003","ASV_00018","Farm","Mink","not_significant"
"212",2,17,0.951,61,58,58,58,1,1,"ASV_00003","ASV_00019","Farm","Mink","not_significant"
"213",2,18,0.738,61,45,45,45,1,1,"ASV_00003","ASV_00020","Farm","Mink","not_significant"
"214",2,19,1,61,61,61,61,1,1,"ASV_00003","ASV_00021","Farm","Mink","not_significant"
"215",2,20,1,61,61,61,61,1,1,"ASV_00003","ASV_00022","Farm","Mink","not_significant"
"216",2,21,1,61,61,61,61,1,1,"ASV_00003","ASV_00023","Farm","Mink","not_significant"
"217",2,22,0.918,61,56,56,56,1,1,"ASV_00003","ASV_00024","Farm","Mink","not_significant"
"218",2,23,0.984,61,60,60,60,1,1,"ASV_00003","ASV_00026","Farm","Mink","not_significant"
"219",2,24,0.951,61,58,58,58,1,1,"ASV_00003","ASV_00028","Farm","Mink","not_significant"
"220",2,25,0.869,61,53,53,53,1,1,"ASV_00003","ASV_00029","Farm","Mink","not_significant"
"221",2,26,0.984,61,60,60,60,1,1,"ASV_00003","ASV_00030","Farm","Mink","not_significant"
"222",2,27,0.754,61,46,46,46,1,1,"ASV_00003","ASV_00031","Farm","Mink","not_significant"
"223",2,28,1,61,61,61,61,1,1,"ASV_00003","ASV_00032","Farm","Mink","not_significant"
"224",2,29,1,61,61,61,61,1,1,"ASV_00003","ASV_00033","Farm","Mink","not_significant"
"225",2,30,0.328,61,20,20,20,1,1,"ASV_00003","ASV_00034","Farm","Mink","not_significant"
"226",2,31,0.836,61,51,51,51,1,1,"ASV_00003","ASV_00035","Farm","Mink","not_significant"
"227",2,32,1,61,61,61,61,1,1,"ASV_00003","ASV_00036","Farm","Mink","not_significant"
"228",2,33,0.689,61,42,42,42,1,1,"ASV_00003","ASV_00039","Farm","Mink","not_significant"
"229",2,34,0.984,61,60,60,60,1,1,"ASV_00003","ASV_00040","Farm","Mink","not_significant"
"230",2,35,0.59,61,36,36,36,1,1,"ASV_00003","ASV_00042","Farm","Mink","not_significant"
"231",2,36,0.672,61,41,41,41,1,1,"ASV_00003","ASV_00044","Farm","Mink","not_significant"
"232",2,37,0.459,61,28,28,28,1,1,"ASV_00003","ASV_00045","Farm","Mink","not_significant"
"233",2,38,0.902,61,55,55,55,1,1,"ASV_00003","ASV_00046","Farm","Mink","not_significant"
"234",2,39,0.984,61,60,60,60,1,1,"ASV_00003","ASV_00048","Farm","Mink","not_significant"
"235",2,40,0.951,61,58,58,58,1,1,"ASV_00003","ASV_00050","Farm","Mink","not_significant"
"236",2,41,0.754,61,46,46,46,1,1,"ASV_00003","ASV_00051","Farm","Mink","not_significant"
"237",2,42,0.984,61,60,60,60,1,1,"ASV_00003","ASV_00052","Farm","Mink","not_significant"
"238",2,43,0.508,61,31,31,31,1,1,"ASV_00003","ASV_00054","Farm","Mink","not_significant"
"239",2,44,0.787,61,48,48,48,1,1,"ASV_00003","ASV_00055","Farm","Mink","not_significant"
"240",2,45,1,61,61,61,61,1,1,"ASV_00003","ASV_00056","Farm","Mink","not_significant"
"241",2,46,0.984,61,60,60,60,1,1,"ASV_00003","ASV_00057","Farm","Mink","not_significant"
"242",2,47,0.754,61,46,46,46,1,1,"ASV_00003","ASV_00058","Farm","Mink","not_significant"
"243",2,48,0.951,61,58,58,58,1,1,"ASV_00003","ASV_00059","Farm","Mink","not_significant"
"244",2,49,0.689,61,42,42,42,1,1,"ASV_00003","ASV_00060","Farm","Mink","not_significant"
"245",2,50,0.721,61,44,44,44,1,1,"ASV_00003","ASV_00061","Farm","Mink","not_significant"
"246",2,51,1,61,61,61,61,1,1,"ASV_00003","ASV_00062","Farm","Mink","not_significant"
"247",2,52,0.508,61,31,31,31,1,1,"ASV_00003","ASV_00063","Farm","Mink","not_significant"
"248",2,53,0.377,61,23,23,23,1,1,"ASV_00003","ASV_00064","Farm","Mink","not_significant"
"249",2,54,0.705,61,43,43,43,1,1,"ASV_00003","ASV_00066","Farm","Mink","not_significant"
"250",2,55,1,61,61,61,61,1,1,"ASV_00003","ASV_00067","Farm","Mink","not_significant"
"251",2,56,0.705,61,43,43,43,1,1,"ASV_00003","ASV_00069","Farm","Mink","not_significant"
"252",2,57,0.344,61,21,21,21,1,1,"ASV_00003","ASV_00070","Farm","Mink","not_significant"
"253",2,58,0.459,61,28,28,28,1,1,"ASV_00003","ASV_00071","Farm","Mink","not_significant"
"254",2,59,0.672,61,41,41,41,1,1,"ASV_00003","ASV_00076","Farm","Mink","not_significant"
"255",2,60,0.443,61,27,27,27,1,1,"ASV_00003","ASV_00078","Farm","Mink","not_significant"
"256",2,61,0.361,61,22,22,22,1,1,"ASV_00003","ASV_00080","Farm","Mink","not_significant"
"257",2,62,0.738,61,45,45,45,1,1,"ASV_00003","ASV_00083","Farm","Mink","not_significant"
"258",2,63,0.311,61,19,19,19,1,1,"ASV_00003","ASV_00084","Farm","Mink","not_significant"
"259",2,64,0.623,61,38,38,38,1,1,"ASV_00003","ASV_00085","Farm","Mink","not_significant"
"260",2,65,0.869,61,53,53,53,1,1,"ASV_00003","ASV_00086","Farm","Mink","not_significant"
"261",2,66,0.656,61,40,40,40,1,1,"ASV_00003","ASV_00087","Farm","Mink","not_significant"
"262",2,67,0.82,61,50,50,50,1,1,"ASV_00003","ASV_00090","Farm","Mink","not_significant"
"263",2,68,0.689,61,42,42,42,1,1,"ASV_00003","ASV_00092","Farm","Mink","not_significant"
"264",2,69,0.689,61,42,42,42,1,1,"ASV_00003","ASV_00096","Farm","Mink","not_significant"
"265",2,70,0.311,61,19,19,19,1,1,"ASV_00003","ASV_00099","Farm","Mink","not_significant"
"266",2,71,0.377,61,23,23,23,1,1,"ASV_00003","ASV_00100","Farm","Mink","not_significant"
"267",2,72,0.607,61,37,37,37,1,1,"ASV_00003","ASV_00101","Farm","Mink","not_significant"
